Date,True,dLinear,TimesNet,True Prod,Prod
2023-08-18 01:00:00,8.655933,7.4806256,6.551315,24.987,24.984407
2023-08-18 02:00:00,5.412133,7.4518104,6.6334257,23.767551,24.578407
2023-08-18 03:00:00,6.78155,7.2843537,6.388248,20.7394,21.354902
2023-08-18 04:00:00,6.4087996,7.1378865,6.4409986,15.18275,16.060091
2023-08-18 05:00:00,5.73405,7.005779,6.3356957,8.345025,7.6547837
2023-08-18 06:00:00,6.713225,6.9556684,6.325987,1.8679497,1.5717543
2023-08-18 07:00:00,5.4557996,7.043352,6.4520864,0.046726033,0.7921928
2023-08-18 08:00:00,7.0902996,7.1794705,6.743202,1.0260005,1.384852
2023-08-18 09:00:00,7.4727798,7.3548326,7.093206,7.829525,5.74981
2023-08-18 10:00:00,8.2213,7.8243117,7.3225636,15.3177,15.450354
2023-08-18 11:00:00,8.777766,8.203185,7.805784,20.59835,19.857845
2023-08-18 12:00:00,8.91255,8.432762,7.8819017,23.600975,22.757803
2023-08-18 13:00:00,9.5817995,8.664336,8.060432,25.15055,24.047276
2023-08-18 13:00:00,9.5817995,9.584266,8.947398,25.448524,24.425014
2023-08-18 14:00:00,8.732833,9.886688,9.101241,23.722425,24.25054
2023-08-18 15:00:00,8.941533,10.075825,9.325825,21.113,22.018366
2023-08-18 16:00:00,9.036567,10.150518,9.484647,15.817966,16.798477
2023-08-18 17:00:00,9.1622,10.292492,9.349123,8.634174,8.081649
2023-08-18 18:00:00,9.2283,10.106113,9.012057,1.9102749,1.4733716
2023-08-18 19:00:00,9.28946,10.037731,8.811985,0.06492525,0.8198422
2023-08-18 20:00:00,8.003924,9.912998,8.897103,0.79380023,1.1094116
2023-08-18 21:00:00,9.1112995,9.610329,8.667288,7.22015,5.7089467
2023-08-18 22:00:00,8.794134,9.064811,8.571486,15.071401,12.204294
2023-08-18 23:00:00,8.048201,8.554293,8.196416,19.6783,18.760406
2023-08-19 00:00:00,7.9788,8.024249,7.6833086,19.9624,16.118856
2023-08-19 01:00:00,7.8573,7.786755,7.3796453,24.48205,23.949045
2023-08-19 02:00:00,7.39725,7.632656,6.755083,21.55745,18.881052
2023-08-19 03:00:00,4.90325,7.524618,6.4827123,11.916975,14.131387
2023-08-19 04:00:00,7.1146746,7.3197207,6.5826807,10.021825,9.638624
2023-08-19 05:00:00,6.6161666,7.253861,6.4454894,7.59015,10.715955
2023-08-19 06:00:00,5.7795753,7.355776,6.554068,4.6287007,4.467313
2023-08-19 07:00:00,6.64645,7.491763,6.7846084,1.1798755,1.4212173
2023-08-19 08:00:00,6.661,7.645523,7.226734,0.26082468,0.8649682
2023-08-19 09:00:00,5.7921,8.045841,6.833006,1.1512994,2.4750845
2023-08-19 10:00:00,5.9978,8.470336,6.747571,5.77865,11.224591
2023-08-19 11:00:00,6.7861333,8.871735,7.0766063,12.609674,13.203663
2023-08-19 12:00:00,5.9095497,9.420395,7.5828824,16.32225,16.241432
2023-08-19 12:00:00,5.9095497,7.6054196,6.556569,17.029625,17.98479
2023-08-19 13:00:00,5.0329666,8.006457,6.685606,16.843624,16.491724
2023-08-19 14:00:00,6.79404,8.244909,6.3900943,8.441026,13.145707
2023-08-19 15:00:00,5.9730496,8.3242655,6.4724317,8.35515,14.510056
2023-08-19 16:00:00,6.4309,8.442674,6.441527,4.7520757,2.904188
2023-08-19 17:00:00,6.9718,8.48985,6.5261183,1.3425004,2.0590415
2023-08-19 18:00:00,5.9741,8.640158,6.488152,0.33869967,1.1867583
2023-08-19 19:00:00,7.3504167,8.707504,6.666301,0.060851034,0.7132866
2023-08-19 20:00:00,7.1702747,8.720537,6.7592826,0.3984497,0.85852486
2023-08-19 21:00:00,6.0217004,8.555749,6.6558447,2.6033003,2.448893
2023-08-19 22:00:00,6.3257747,8.420057,6.4403577,2.7718246,4.7766256
2023-08-19 23:00:00,6.3627,8.117746,6.432632,7.61985,8.298863
2023-08-20 00:00:00,6.577725,7.782925,6.4083986,15.0652,7.82204
2023-08-20 01:00:00,7.08305,7.5446334,6.437619,14.823475,14.238287
2023-08-20 02:00:00,7.071,7.396482,6.4720726,10.1051,8.269582
2023-08-20 03:00:00,7.05452,7.185378,6.6263986,11.306125,7.765702
2023-08-20 04:00:00,7.1793,7.0744796,6.889457,8.736675,7.590602
2023-08-20 05:00:00,6.198567,6.979937,6.493072,2.5937252,2.1987758
2023-08-20 06:00:00,4.8262997,6.8661084,6.5464625,0.8222504,0.7614262
2023-08-20 07:00:00,6.7418,6.794646,6.402399,0.638975,0.66122895
2023-08-20 08:00:00,6.6727004,6.865921,6.4898286,5.8793,1.2028471
2023-08-20 09:00:00,4.7983,6.868422,6.3550396,13.17435,4.7987185
2023-08-20 10:00:00,6.8258333,6.945832,6.5632324,17.783676,13.516495
2023-08-20 11:00:00,6.8686,7.408155,6.9341636,21.7325,18.565582
2023-08-20 11:00:00,6.8686,6.606046,6.4681697,22.8503,22.872555
2023-08-20 12:00:00,4.8307996,6.8096385,6.270836,23.995901,18.104168
2023-08-20 13:00:00,6.4593797,6.8681393,6.0690823,22.750051,21.319487
2023-08-20 14:00:00,7.0166,6.814709,5.971371,19.6339,17.646854
2023-08-20 15:00:00,6.297933,6.760548,6.313777,14.196475,13.560824
2023-08-20 16:00:00,6.4298577,6.612016,6.6304135,7.0962996,4.665964
2023-08-20 17:00:00,6.48765,6.8448534,6.806807,2.1128004,1.1050327
2023-08-20 18:00:00,6.01485,7.2291737,6.7761364,0.096200645,0.6771411
2023-08-20 19:00:00,7.1822004,7.4763947,6.5055346,0.18222603,0.82517135
2023-08-20 20:00:00,7.03435,7.524497,6.8021827,1.1440502,2.3593647
